topic,word,weight
9,la,0.010733656707838242
10,lugar,0.05888479528909007
10,sitio,0.049681227250866815
10,agradable,0.030767284767015804
10,buen,0.022252976839713966
10,un,0.02008807397247689
10,para,0.015956699282501475
10,bonito,0.0157373717463514
10,más,0.013608229911887228
10,muy,0.0134692057422704
10,acogedor,0.01308311935963916
11,restaurante,0.07499022946323827
11,buen,0.01558670103250006
11,calidad,0.013939154706189836
11,muy,0.01377964708557891
11,con,0.012341034991087943
11,un,0.012313437998333282
11,restaurantes,0.011253436996185896
11,es,0.010871522884529923
11,excelente,0.010594923746946722
11,este,0.010376308290698862
12,menú,0.09288049578100015
12,día,0.03632339055849566
12,menu,0.03401107500428441
12,del,0.026758022252117902
12,precio,0.025445129090006593
12,buen,0.025351331587771846
12,menús,0.019239642148693465
12,calidad,0.016125058608026932
12,muy,0.015463450515561673
12,degustación,0.014506922922626567
13,queso,0.09863244172466021
13,tarta,0.09539458918975213
13,de,0.016889472743013743
13,la,0.01613214017763663
13,famosa,0.013058257976165503
13,pastel,0.012480781236306977
13,viña,0.012405784335684122
13,más,0.012392355949494099
13,mejor,0.012345590295922193
13,probar,0.0113644052089363
14,servicio,0.09100317124483381
14,comida,0.06231328014225378
14,excelente,0.032521765980943966
14,buen,0.030970047801432126
14,buena,0.030739052740721123
14,muy,0.021428557452605808
14,rápido,0.018861618122803642
14,rica,0.01726559793747892
14,precio,0.013739598534342149
14,calidad,0.012273664167946912
15,nos,0.025107515147238045
15,volveremos,0.02494193617947068
15,encantó,0.02183641714523074
15,me,0.021827627394310236
15,ha,0.020788608232711486
15,encantado,0.020478697832702633
15,todo,0.020031175046150124
15,volveré,0.013939204348856432
15,repetir,0.01326729294390684
15,hemos,0.013109975589817743
16,veganas,0.03555183493254612
16,opciones,0.032704647985772814
16,vegano,0.029367587691325074
16,vegana,0.029217887329621234
16,vegetariano,0.028831251696410362
16,vegetariana,0.027184962363919582
16,vegetarianos,0.025896244197064374
16,veganos,0.025287025881277774
16,vegetarianas,0.022284349748147567
16,platos,0.013045486040270806
17,cocina,0.14696059838000755
17,buena,0.025935106442185298
17,tradicional,0.02340733885927412
17,excelente,0.017436480042514673
17,abierta,0.017182762169962475
17,vasca,0.015359440985825782
17,muy,0.01345850683659839
17,calidad,0.012848188037166372
17,buen,0.012464459064855956
17,servicio,0.012051525623016644
18,vino,0.07264665314470682
18,vinos,0.07134318538075492
18,selección,0.015187386762711414
18,copa,0.01500050325023159
18,de,0.012517382362860232
18,buen,0.012150016907723021
18,buenos,0.011787990845363966
18,pintxos,0.011075777968873931
18,carta,0.010878544029141903
18,blanco,0.010818991367692952
19,comida,0.07605712264571028
19,trato,0.057015780890466376
19,buena,0.04080177195193787
19,excelente,0.034369221921835676
19,muy,0.02391557312252854
19,recomendable,0.019094107871490913
19,deliciosa,0.019004281220455797
19,perfecto,0.014861836585842045
19,personal,0.014736372649990705
19,casera,0.01438586283532465
20,comimos,0.037254455164603725
20,hemos,0.03287035893849747
20,nos,0.022426708999658113
20,comido,0.021311502942583525
20,bien,0.01998308425758217
20,muy,0.016908505399322173
20,estaba,0.013285443304907232
20,menú,0.012968577892132802
20,todo,0.012915084660073028
20,fuimos,0.012567073218030524
21,servicio,0.11186154600215024
21,buen,0.05242420501092325
21,rápido,0.033302867011517044
21,muy,0.025031545309917965
21,excelente,0.022570133721875697
21,bueno,0.022290494186706974
21,calidad,0.021131821094293728
21,pinchos,0.018891113266079704
21,amable,0.018171473322857883
21,todo,0.016856543806791715
22,cerveza,0.12433521122242375
22,cervezas,0.0926463986270653
22,buena,0.021753501878312625
22,tomar,0.017906403679736536
22,selección,0.017618702342062063
22,barril,0.01651244010314271
22,variedad,0.015539866684447259
22,artesanales,0.015379195884002293
22,una,0.014380022003765022
22,gran,0.013817462794681714
23,rico,0.2099807120250003
23,ricos,0.08094333665692786
23,todo,0.07082215012891098
23,muy,0.040949765418526074
23,ricas,0.025959307020231102
23,pinchos,0.01938040787082905
23,rica,0.014704763230129593
23,pintxos,0.014521691407683751
23,super,0.01232602112652672
23,amables,0.012109628538205948
24,personal,0.07472018157824702
24,profesionales,0.04753888330918306
24,amable,0.04704342863283727
24,amables,0.03797358497349509
24,amabilidad,0.035977174346397016
24,profesional,0.03308568286745975
24,muy,0.029642388679774947
24,agradable,0.023810524814625922
24,atentos,0.01867962910914515
24,genero,0.016808088183009842
25,delicioso,0.04238149880528782
25,deliciosos,0.03640924011605469
25,sabor,0.03052701473831909
25,sabores,0.027732255142626675
25,crema,0.016858967409390732
25,pinchos,0.01654974862227246
25,deliciosas,0.016318456350510907
25,más,0.0152322430648194
25,con,0.013104288657159185
25,de,0.013029318599390566
26,mal,0.030864210358304264
26,servicio,0.029793503901685593
26,lento,0.01919686284260801
26,personal,0.01886030150292237
26,no,0.018790204906855672
26,mala,0.016074584002901043
26,cliente,0.016072820713945793
26,pésimo,0.015388491697933595
